N,S,M,L,XL
178,0.109,0.143,0.228,0.535
179,0.107,0.145,0.231,0.531
180,0.106,0.146,0.233,0.506
181,0.11,0.143,0.23,0.508
182,0.105,0.142,0.232,0.534
183,0.108,0.144,0.236,0.498
184,0.108,0.144,0.234,0.491
185,0.107,0.146,0.233,0.499
186,0.106,0.147,0.231,0.497
187,0.106,0.149,0.23,0.493
188,0.108,0.143,0.232,0.515
189,0.106,0.143,0.236,0.545
190,0.11,0.147,0.227,0.6
191,0.106,0.147,0.229,0.511
192,0.107,0.142,0.228,0.518
193,0.106,0.146,0.231,0.492
194,0.11,0.142,0.226,0.494
195,0.107,0.144,0.224,0.496
196,0.118,0.142,0.229,0.495
197,0.106,0.143,0.23,0.492
198,0.111,0.146,0.244,0.513
199,0.106,0.144,0.229,0.565
200,0.106,0.143,0.232,0.606
201,0.108,0.144,0.229,0.57
202,0.105,0.146,0.229,0.549
203,0.105,0.143,0.232,0.519
204,0.107,0.142,0.229,0.504
205,0.107,0.144,0.236,0.496
206,0.105,0.144,0.23,0.531
207,0.107,0.143,0.231,0.489
208,0.106,0.148,0.236,0.502
209,0.105,0.148,0.229,0.497
210,0.105,0.154,0.229,0.53
211,0.106,0.16,0.231,0.503
212,0.112,0.155,0.232,0.51
213,0.113,0.159,0.235,0.485
214,0.105,0.152,0.233,0.498
215,0.106,0.15,0.237,0.509
216,0.106,0.146,0.228,0.515
217,0.105,0.15,0.231,0.494
218,0.106,0.145,0.231,0.489
219,0.108,0.145,0.23,0.494
220,0.108,0.143,0.233,0.5
221,0.108,0.146,0.23,0.499
222,0.105,0.145,0.238,0.495
223,0.112,0.144,0.227,0.518
224,0.111,0.144,0.229,0.51
225,0.11,0.145,0.229,0.499
226,0.108,0.144,0.23,0.568
227,0.107,0.145,0.25,0.57
228,0.107,0.143,0.241,0.519
229,0.112,0.144,0.232,0.521
230,0.113,0.15,0.237,0.575
231,0.111,0.146,0.234,0.533
232,0.107,0.144,0.235,0.493
233,0.107,0.146,0.237,0.489
234,0.107,0.145,0.231,0.495
235,0.106,0.145,0.233,0.491
236,0.106,0.145,0.23,0.493
237,0.106,0.146,0.23,0.487
238,0.105,0.148,0.236,0.489
239,0.105,0.147,0.228,0.49
240,0.105,0.149,0.236,0.497
241,0.106,0.146,0.237,0.488
242,0.106,0.148,0.243,0.491
243,0.107,0.143,0.235,0.488
244,0.106,0.147,0.228,0.486
245,0.105,0.147,0.233,0.483
246,0.104,0.143,0.236,0.488
247,0.105,0.145,0.232,0.492
248,0.104,0.145,0.233,0.486
249,0.108,0.144,0.234,0.495
250,0.109,0.146,0.231,0.486
251,0.108,0.145,0.236,0.486
252,0.108,0.144,0.234,0.488
253,0.109,0.145,0.235,0.485
254,0.105,0.141,0.236,0.484
255,0.108,0.144,0.232,0.486
256,0.108,0.148,0.234,0.512
257,0.107,0.147,0.235,0.549
258,0.11,0.143,0.235,0.552
259,0.108,0.146,0.234,0.552
260,0.108,0.146,0.235,0.5
261,0.106,0.145,0.231,0.518
262,0.105,0.145,0.25,0.53
263,0.105,0.142,0.252,0.514
264,0.104,0.143,0.248,0.523
265,0.105,0.145,0.249,0.509
266,0.105,0.146,0.249,0.51
