N,S,M,L,XL
3.0517578125e-05,30.685,51.147,105.23,361.762
0.0001220703125,25.972,41.701,82.319,273.533
0.00048828125,26.344,41.947,80.921,267.538
0.001953125,31.792,51.528,102.093,344.739
0.0078125,42.488,72.144,143.346,502.272
0.03125,57.253,96.377,208.108,888.303
0.125,72.229,127.236,292.311,1639.048
0.5,84.05,150.463,363.825,2448.244
2,89.03,162.233,394.304,2518.833
8,92.512,167.596,420.241,2796.632
