N,S,M,L,XL
178,0.01,0.016,0.026,0.073
179,0.01,0.016,0.026,0.072
180,0.01,0.016,0.027,0.072
181,0.01,0.017,0.026,0.073
182,0.01,0.016,0.026,0.074
183,0.01,0.016,0.027,0.075
184,0.01,0.016,0.027,0.073
185,0.01,0.016,0.026,0.081
186,0.01,0.016,0.026,0.077
187,0.01,0.016,0.027,0.074
188,0.01,0.016,0.027,0.075
189,0.01,0.016,0.027,0.078
190,0.01,0.016,0.027,0.073
191,0.01,0.016,0.027,0.076
192,0.01,0.016,0.028,0.073
193,0.011,0.016,0.027,0.073
194,0.01,0.016,0.026,0.074
195,0.011,0.016,0.027,0.073
196,0.01,0.016,0.027,0.074
197,0.011,0.016,0.027,0.073
198,0.01,0.016,0.026,0.074
199,0.01,0.016,0.026,0.073
